YEAR;cod_distrito;distrito;TOTAL
2019;1;CENTRO;2
2019;2;ARGANZUELA;6
2019;3;RETIRO;10
2019;4;SALAMANCA;5
2019;5;CHAMARTIN;1
2019;6;TETUAN;10
2019;7;CHAMBERI;6
2019;8;FUENCARRAL-EL PARDO;4
2019;9;MONCLOA-ARAVACA;6
2019;10;LATINA;7
2019;11;CARABANCHEL;11
2019;12;USERA;5
2019;13;PUENTE DE VALLECAS;6
2019;14;MORATALAZ;5
2019;15;CIUDAD LINEAL;15
2019;16;HORTALEZA;8
2019;17;VILLAVERDE;7
2019;18;VILLA DE VALLECAS;3
2019;19;VICALVARO;12
2019;20;SAN BLAS-CANILLEJAS;11
2019;21;BARAJAS;3
2020;1;CENTRO;1
2020;2;ARGANZUELA;7
2020;3;RETIRO;7
2020;4;SALAMANCA;6
2020;5;CHAMARTIN;1
2020;6;TETUAN;11
2020;7;CHAMBERI;6
2020;8;FUENCARRAL-EL PARDO;6
2020;9;MONCLOA-ARAVACA;8
2020;10;LATINA;8
2020;11;CARABANCHEL;11
2020;12;USERA;6
2020;13;PUENTE DE VALLECAS;9
2020;14;MORATALAZ;8
2020;15;CIUDAD LINEAL;17
2020;16;HORTALEZA;8
2020;17;VILLAVERDE;10
2020;18;VILLA DE VALLECAS;5
2020;19;VICALVARO;13
2020;20;SAN BLAS-CANILLEJAS;13
2020;21;BARAJAS;5
2021;1;CENTRO;1
2021;2;ARGANZUELA;7
2021;3;RETIRO;7
2021;4;SALAMANCA;6
2021;5;CHAMARTIN;2
2021;6;TETUAN;12
2021;7;CHAMBERI;5
2021;8;FUENCARRAL-EL PARDO;10
2021;9;MONCLOA-ARAVACA;9
2021;10;LATINA;9
2021;11;CARABANCHEL;11
2021;12;USERA;6
2021;13;PUENTE DE VALLECAS;10
2021;14;MORATALAZ;8
2021;15;CIUDAD LINEAL;17
2021;16;HORTALEZA;9
2021;17;VILLAVERDE;10
2021;18;VILLA DE VALLECAS;5
2021;19;VICALVARO;15
2021;20;SAN BLAS-CANILLEJAS;14
2021;21;BARAJAS;5
2022;1;CENTRO;1
2022;2;ARGANZUELA;5
2022;3;RETIRO;6
2022;4;SALAMANCA;5
2022;5;CHAMARTIN;1
2022;6;TETUAN;9
2022;7;CHAMBERI;6
2022;8;FUENCARRAL-EL PARDO;7
2022;9;MONCLOA-ARAVACA;14
2022;10;LATINA;6
2022;11;CARABANCHEL;9
2022;12;USERA;4
2022;13;PUENTE DE VALLECAS;7
2022;14;MORATALAZ;22
2022;15;CIUDAD LINEAL;11
2022;16;HORTALEZA;10
2022;17;VILLAVERDE;6
2022;18;VILLA DE VALLECAS;4
2022;19;VICALVARO;11
2022;20;SAN BLAS-CANILLEJAS;11
2022;21;BARAJAS;2
2023;1;CENTRO;1
2023;2;ARGANZUELA;1
2023;3;RETIRO;2
2023;4;SALAMANCA;1
2023;6;TETUAN;8
2023;7;CHAMBERI;5
2023;8;FUENCARRAL - EL PARDO;4
2023;9;MONCLOA - ARAVACA;6
2023;10;LATINA;3
2023;11;CARABANCHEL;7
2023;12;USERA;3
2023;13;PUENTE DE VALLECAS;6
2023;14;MORATALAZ;21
2023;15;CIUDAD LINEAL;8
2023;16;HORTALEZA;8
2023;17;VILLAVERDE;6
2023;18;VILLA DE VALLECAS;4
2023;19;VICALVARO;11
2023;20;SAN BLAS - CANILLEJAS;11
2023;21;BARAJAS;1
