YEAR;cod_distrito;DISTRITO;ESPECIE CANINA;ESPECIE FELINA;TOTAL
2019;1;CENTRO;16010;9248;25258
2020;1;CENTRO;16202;9477;25679
2021;1;CENTRO;16442;9878;26320
2022;1;CENTRO;16943;10645;27588
2023;1;CENTRO;19791;12457;32248
2019;2;ARGANZUELA;10556;5074;15630
2020;2;ARGANZUELA;10732;5232;15964
2021;2;ARGANZUELA;10843;5439;16282
2022;2;ARGANZUELA;11894;5951;17845
2023;2;ARGANZUELA;12685;7028;19713
2019;3;RETIRO;7786;3105;10891
2020;3;RETIRO;7890;3184;11074
2021;3;RETIRO;7942;3311;11253
2022;3;RETIRO;7948;3513;11461
2023;3;RETIRO;9389;4173;13562
2019;4;SALAMANCA;13471;5033;18504
2020;4;SALAMANCA;13634;5133;18767
2021;4;SALAMANCA;13880;5316;19196
2022;4;SALAMANCA;14446;5511;19957
2023;4;SALAMANCA;16905;6662;23567
2019;5;CHAMARTIN;11098;3922;15020
2020;5;CHAMARTIN;11250;3996;15246
2021;5;CHAMARTIN;11361;4122;15483
2022;5;CHAMARTIN;11289;4323;15612
2023;5;CHAMARTIN;13632;5181;18813
2019;6;TETUAN;12470;5535;18005
2020;6;TETUAN;12556;5638;18194
2021;6;TETUAN;12607;5909;18516
2022;6;TETUAN;12693;6554;19247
2023;6;TETUAN;15002;7815;22817
2019;7;CHAMBERI;13359;4692;18051
2020;7;CHAMBERI;13466;4782;18248
2021;7;CHAMBERI;13632;4987;18619
2022;7;CHAMBERI;13873;5347;19220
2023;7;CHAMBERI;16040;6351;22391
2019;8;FUENCARRAL-EL PARDO;17375;6121;23496
2020;8;FUENCARRAL-EL PARDO;17617;6373;23990
2021;8;FUENCARRAL-EL PARDO;17712;6630;24342
2022;8;FUENCARRAL-EL PARDO;17742;6686;24428
2023;8;FUENCARRAL-EL PARDO;21246;8199;29445
2019;9;MONCLOA-ARAVACA;12367;3931;16298
2020;9;MONCLOA-ARAVACA;12545;4042;16587
2021;9;MONCLOA-ARAVACA;12572;4226;16798
2022;9;MONCLOA-ARAVACA;12655;4601;17256
2023;9;MONCLOA-ARAVACA;14946;5490;20436
2019;10;LATINA;19049;10564;29613
2020;10;LATINA;19206;10867;30073
2021;10;LATINA;19253;12184;31437
2022;10;LATINA;19416;14783;34199
2023;10;LATINA;23040;18398;41438
2019;11;CARABANCHEL;20258;6387;26645
2020;11;CARABANCHEL;20541;6808;27349
2021;11;CARABANCHEL;20595;6926;27521
2022;11;CARABANCHEL;20833;8420;29253
2023;11;CARABANCHEL;24302;9955;34257
2019;12;USERA;12393;2898;15291
2020;12;USERA;12474;2992;15466
2021;12;USERA;12519;3175;15694
2022;12;USERA;12524;3784;16308
2023;12;USERA;14721;4569;19290
2019;13;PUENTE DE VALLECAS;23437;6208;29645
2020;13;PUENTE DE VALLECAS;23485;6395;29880
2021;13;PUENTE DE VALLECAS;23675;6699;30374
2022;13;PUENTE DE VALLECAS;23595;7855;31450
2023;13;PUENTE DE VALLECAS;27953;9564;37517
2019;14;MORATALAZ;6724;2502;9226
2020;14;MORATALAZ;6836;2603;9439
2021;14;MORATALAZ;6865;2722;9587
2022;14;MORATALAZ;6865;3028;9893
2023;14;MORATALAZ;8147;3561;11708
2019;15;CIUDAD LINEAL;17286;8183;25469
2020;15;CIUDAD LINEAL;17522;8332;25854
2021;15;CIUDAD LINEAL;17764;8708;26472
2022;15;CIUDAD LINEAL;17692;9323;27015
2023;15;CIUDAD LINEAL;20830;11169;31999
2019;16;HORTALEZA;15836;8556;24392
2020;16;HORTALEZA;16031;8731;24762
2021;16;HORTALEZA;16057;8964;25021
2022;16;HORTALEZA;15795;9297;25092
2023;16;HORTALEZA;18929;10671;29600
2019;17;VILLAVERDE;12917;2694;15611
2020;17;VILLAVERDE;13068;2776;15844
2021;17;VILLAVERDE;13470;2933;16403
2022;17;VILLAVERDE;12362;3432;15794
2023;17;VILLAVERDE;15896;4190;20086
2019;18;VILLA DE VALLECAS;9923;2946;12869
2020;18;VILLA DE VALLECAS;10003;3078;13081
2021;18;VILLA DE VALLECAS;10114;3204;13318
2022;18;VILLA DE VALLECAS;10288;3809;14097
2023;18;VILLA DE VALLECAS;12061;4552;16613
2019;19;VICALVARO;5244;1505;6749
2020;19;VICALVARO;5306;1560;6866
2021;19;VICALVARO;5335;1634;6969
2022;19;VICALVARO;5410;1913;7323
2023;19;VICALVARO;6377;2273;8650
2019;20;SAN BLAS-CANILLEJAS;14228;5064;19292
2020;20;SAN BLAS-CANILLEJAS;14473;5189;19662
2021;20;SAN BLAS-CANILLEJAS;14538;5401;19939
2022;20;SAN BLAS-CANILLEJAS;14585;5996;20581
2023;20;SAN BLAS-CANILLEJAS;16229;7083;23312
2019;21;BARAJAS;5086;1515;6601
2020;21;BARAJAS;5165;1562;6727
2021;21;BARAJAS;5139;1623;6762
2022;21;BARAJAS;5087;1751;6838
2023;21;BARAJAS;6068;2176;8244
